x,y,z
357.6738327373718,220.9413101130885,a
371.9605904018969,184.12652708132214,a
364.64363676439547,273.1507819224259,a
346.86872176616083,210.15679400183444,a
362.76024344882825,157.6128373296673,a
359.399876801341,237.8811864365656,a
327.7424726240839,207.16979247723862,a
385.00433495645814,271.4947060050219,a
393.1564877087049,261.3395198072707,a
352.86680064137465,181.597563550087,a
371.83093916715455,199.09928649086504,a
353.3556674870658,206.6628722202297,a
365.30987990882704,259.9087599735251,a
372.4061700622592,239.84157562771077,a
398.6832790069806,281.85640052657743,a
374.093770084127,333.3539268648956,a
388.4088190686588,378.4129825396543,a
404.43614069918425,409.8307295845829,a
401.73600146908166,434.8642494324529,a
312.4067779217478,418.3099632028289,a
373.2553192473158,414.6423695171428,a
359.9843612041748,462.3948209838736,a
317.9941306722048,455.11360095271624,a
293.9689812881967,440.7130711344192,a
305.192838051262,412.66027974733635,a
323.85891157717197,407.2281098966456,a
320.20166746008624,404.0351669673313,a
325.7355401190721,389.7996923252039,a
293.0904591605202,358.29624741989744,a
330.8056583140074,352.2677136661773,a
280.00193522446693,272.18003507023803,a
297.76422176231057,346.63248796368106,a
283.74042161269745,249.18283383746999,a
248.14636947429202,221.20466414894003,a
287.4295478292152,256.5981391640638,a
354.16557442722683,232.35356612934896,a
333.58177003076213,241.80266523955248,a
340.33630116218205,245.18092650036758,a
319.6617049865615,252.25640705987863,a
354.8408368672968,291.341551754225,a
339.89566147434726,278.09351122388114,a
356.8404292607868,312.0296446424511,a
344.6642660594345,338.5795340749934,a
363.82885948077376,371.86080293122177,a
320.09867176760133,335.10870616222167,a
315.3299819829293,361.89440615395915,a
288.77645806786677,453.1974980822298,a
238.87853948169771,311.55863294096395,a
233.0918190337682,276.9538129641293,a
209.1116901214489,324.40168599634967,a
241.42638094186802,235.0045420684345,a
287.81194261343177,311.7499146167711,a
199.85674635222892,221.41697246895262,a
249.55688628706747,320.00556817432863,a
281.8659846898378,287.4231359776604,a
263.50547003702223,306.42921941017704,a
330.83331080615363,337.04671264654735,a
345.86225181892047,335.9638885353771,a
319.99158824627307,314.366128229374,a
289.0340682459201,363.7664608399198,a
261.7611203657154,398.47122840812733,a
215.9265651918552,375.8183445063151,a
264.1673963773299,410.02979226126956,a
268.221077244798,353.13946370686085,a
234.795100434622,353.6886398149153,a
257.65264309542124,344.0832778354069,a
240.63113260587596,387.46382989157996,a
246.50325362515673,374.4291410676501,a
247.77030283304634,355.4209021074641,a
216.28024939723463,338.59428589510924,a
264.29278769409,344.35832180178477,a
299.90522253394215,360.9734304101551,a
317.1247580651472,349.70091586193627,a
351.8771074961716,383.4868509068507,a
346.2308816247278,380.6103010479841,a
394.29350953185366,411.28846173195956,a
301.28175398356916,382.5763101147734,a
370.3670734602677,390.73116892109965,a
372.2576897714174,409.8915737576872,a
412.7799947358075,396.76375658681945,a
512.1128273102254,409.21274370890825,a
479.3326518136382,442.8092077294686,a
539.4299330491984,345.3449617000448,a
502.1248222381458,363.38030181912524,a
459.610727982247,372.65669985492747,a
477.8966849635964,341.0409983076477,a
390.68757522590226,333.0334041339505,a
322.74322475219435,328.002919496711,a
334.97005093105327,301.0960206511425,a
239.18668281667587,304.4498811406187,a
272.9243090128103,263.4647140369625,a
215.74501539164712,298.4903820776083,a
204.63511388927185,303.78738462088006,a
149.99174577222655,292.1764049431523,a
150.83203659367092,302.67633230998587,a
196.68409232780354,316.656710739066,a
216.3491335578052,277.69490767946627,a
228.30815747653517,310.91197793898755,a
163.48308448175166,293.0262951788967,a
181.03657821475642,319.0965881184534,a
177.8853078572642,322.5407231928991,a
258.1225516407251,357.6333300214209,a
226.50657391185692,319.7999377100483,a
533.4504172870596,295.4365498892979,b
473.3518189940749,259.3427873907786,b
497.68973764670926,239.61899624984528,b
441.0486806259142,292.9640609465615,b
415.4379122623796,333.96388812649786,b
414.19333347197244,292.8202090915772,b
345.1356765114528,301.69924311995874,b
318.47884572941103,258.6711657406403,b
310.2656870189026,299.01828445750857,b
290.8206173764783,313.58325996239137,b
303.35609453733355,301.030162965892,b
318.8641128385654,261.8374951385084,b
317.0060764904283,318.399541325757,b
262.5843394240649,217.24164337525758,b
271.8655138386012,214.91921190226003,b
286.3803141442739,254.8230963803976,b
283.07629370973603,224.44600797457508,b
276.31523320202,205.92401720648036,b
308.92719282551445,166.74930926636586,b
241.01625070157257,209.00919870693713,b
256.90618044424264,192.81482295935962,b
276.86541793930667,179.94769831466965,b
317.46867584518213,158.22964502596824,b
310.2905526364114,200.16933582290642,b
375.60356513064335,203.88337333373892,b
360.0303706757359,206.17789582388224,b
432.77955780206145,214.647721182512,b
464.7586464574519,225.9358172482302,b
457.41575340072023,251.58241654905976,b
455.89852582530693,272.68933168487683,b
404.760976664276,232.96193253111682,b
457.41837474303856,261.496486572504,b
449.5447707095795,272.0109181262405,b
419.3736946067349,237.0744571921282,b
389.68212687657206,267.3900184948358,b
392.43885850075065,232.1012019386651,b
332.98521199854014,222.16632118918466,b
301.9138745134471,227.83082414002536,b
299.16804603715,197.77130840861383,b
298.58024576955535,196.51362017702195,b
363.3193719907024,179.98823673853724,b
264.30648775715656,165.9243421149634,b
351.3374668698268,173.2235178827509,b
313.32816496804014,94.26099239002065,b
360.1689697529279,142.11186058841844,b
377.3997791733765,103.56150548039898,b
350.1316749302782,72.74036980644792,b
396.93356824978775,135.81514821918853,b
